concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;1 Norte - Defasada (Mairiporã);2007;BR-381;SP;67,800;Mairiporã;Principal;Decrescente;Ativo;;-23,341210;-46,573664
AUTOPISTA FERNÃO DIAS;1 Norte (Mairiporã);2007;BR-381;SP;65,700;Mairiporã;Principal;Decrescente;Ativo;;-23,322298;-46,581097
AUTOPISTA FERNÃO DIAS;1 Sul (Mairiporã);2007;BR-381;SP;66,600;Mairiporã;Principal;Crescente;Ativo;;-23,330558;-46,578337
AUTOPISTA FERNÃO DIAS;2 (Vargem);2007;BR-381;SP;7,300;Vargem;Principal;Crescente/Decrescente;Ativo;;-22,908685;-46,424877
AUTOPISTA FERNÃO DIAS;3 (Cambuí);2007;BR-381;MG;900,900;Cambuí;Principal;Crescente/Decrescente;Ativo;;-22,628487;-46,077890
AUTOPISTA FERNÃO DIAS;4 (São Gonçalo);2007;BR-381;MG;805,200;São Gonçalo do Sapucaí;Principal;Crescente/Decrescente;Ativo;;-21,970441;-45,631188
AUTOPISTA FERNÃO DIAS;5 (Carmo da Cachoeira);2007;BR-381;MG;735,500;Carmo da Cachoeira;Principal;Crescente/Decrescente;Ativo;;-21,545700;-45,240203
AUTOPISTA FERNÃO DIAS;6 (Santo Antônio do Amparo);2007;BR-381;MG;658,300;Santo Antônio do Amparo;Principal;Crescente/Decrescente;Ativo;;-21,000367;-44,966967
AUTOPISTA FERNÃO DIAS;7 (Carmópolis de Minas);2007;BR-381;MG;597,700;Carmópolis de Minas;Principal;Crescente/Decrescente;Ativo;;-20,591486;-44,701506
AUTOPISTA FERNÃO DIAS;8 (Itatiaiuçu);2007;BR-381;MG;545,900;Itatiaiuçu;Principal;Crescente/Decrescente;Ativo;;-20,268346;-44,423711
AUTOPISTA FLUMINENSE;Casimiro de Abreu;2019;BR-101;RJ;192,820;Casimiro de Abreu;Principal;Crescente/Decrescente;Ativo;;-22,476441;-42,088519
AUTOPISTA FLUMINENSE;Conselheiro Josino;2019;BR-101;RJ;40,500;Campos dos Goytacazes;Principal;Crescente/Decrescente;Ativo;;-21,552594;-41,331597
AUTOPISTA FLUMINENSE;Rio Bonito;2019;BR-101;RJ;252,850;Rio Bonito;Principal;Crescente/Decrescente;Ativo;;-22,687469;-42,539855
AUTOPISTA FLUMINENSE;São Gonçalo;2019;BR-101;RJ;299,690;São Gonçalo;Principal;Crescente;Ativo;;-22,774713;-42,945500
AUTOPISTA FLUMINENSE;Serrinha;2019;BR-101;RJ;123,070;Campos dos Goytacazes;Principal;Crescente/Decrescente;Ativo;;-22,049750;-41,685157
AUTOPISTA LITORAL SUL;P1;2009;BR-376;PR;635,300;São José dos Pinhais;Principal;Crescente/Decrescente;Ativo;;-25,747708;-49,129655
AUTOPISTA LITORAL SUL;P2;2009;BR-101;SC;1,350;Garuva;Principal;Crescente/Decrescente;Ativo;;-25,991898;-48,881469
AUTOPISTA LITORAL SUL;P3;2009;BR-101;SC;79,300;Araquari;Principal;Crescente/Decrescente;Ativo;;-26,591635;-48,722079
AUTOPISTA LITORAL SUL;P4;2009;BR-101;SC;157,400;Porto Belo;Principal;Crescente/Decrescente;Ativo;;-27,185065;-48,612362
AUTOPISTA LITORAL SUL;P5;2009;BR-101;SC;242,800;Palhoça;Principal;Crescente/Decrescente;Ativo;;-27,885105;-48,647677
AUTOPISTA PLANALTO SUL;CORREIA PINTO;2017;BR-116;SC;233,160;Correia Pinto;Principal;Crescente/Decrescente;Ativo;;-27,010584;-50,374335
AUTOPISTA PLANALTO SUL;FAZENDA RIO GRANDE;2017;BR-116;PR;134,400;Fazenda Rio Grande;Principal;Crescente/Decrescente;Ativo;;-25,713458;-49,318037
AUTOPISTA PLANALTO SUL;MONTE CASTELO;2017;BR-116;SC;81,600;Monte Castelo;Principal;Crescente/Decrescente;Ativo;;-26,570363;-50,221795
AUTOPISTA PLANALTO SUL;RIO NEGRO;2017;BR-116;PR;204,100;Rio Negro;Principal;Crescente/Decrescente;Ativo;;-26,070580;-49,739911
AUTOPISTA PLANALTO SUL;SANTA CECÍLIA;2017;BR-116;SC;152,000;Santa Cecília;Principal;Crescente/Decrescente;Ativo;;-27,010584;-50,428716
AUTOPISTA REGIS BITTENCOURT;São Lourenço da Serra;2017;BR-116;SP;298,800;São Lourenço da Serra;Principal;Crescente/Decrescente;Ativo;;-23,787647;-46,913922
AUTOPISTA REGIS BITTENCOURT;Miracatu;2017;BR-116;SP;370,400;Miracatu;Principal;Crescente/Decrescente;Ativo;;-24,157869;-47,326280
AUTOPISTA REGIS BITTENCOURT;Juquiá;2017;BR-116;SP;426,600;Juquiá;Principal;Crescente/Decrescente;Ativo;;-24,389325;-47,722391
AUTOPISTA REGIS BITTENCOURT;Cajati;2017;BR-116;SP;485,700;Cajati;Principal;Crescente/Decrescente;Ativo;;-24,722483;-48,082580
AUTOPISTA REGIS BITTENCOURT;Barra do Turvo;2017;BR-116;SP;542,900;Barra do Turvo;Principal;Crescente/Decrescente;Ativo;;-24,964044;-48,412000
AUTOPISTA REGIS BITTENCOURT;Campina Grande do Sul;2017;BR-116;PR;57,100;Campina Grande do Sul;Principal;Crescente/Decrescente;Ativo;;-25,289252;-48,933841
CONCEBRA;P1 ALEXÂNIA;2017;BR-60;GO;43,100;Alexânia;Principal;Crescente/Decrescente;Ativo;;-16,115707;-48,589240
CONCEBRA;P10 PERDIZES;2017;BR-262;MG;736,900;Perdizes;Principal;Crescente/Decrescente;Ativo;;-19,617614;-47,346547
CONCEBRA;P11 CAMPO FLORIDO;2017;BR-262;MG;863,500;Conceição das Alagoas;Principal;Crescente/Decrescente;Ativo;;-19,776951;-48,458219
CONCEBRA;P2 GOIANÁPOLIS;2017;BR-60;GO;107,900;Goianápolis;Principal;Crescente/Decrescente;Ativo;;-16,438631;-49,019137
CONCEBRA;P3 PROF JAMIL;2017;BR-153;GO;553,100;Piracanjuba;Principal;Crescente/Decrescente;Ativo;;-17,163180;-49,212582
CONCEBRA;P4 ITUMBIARA;2017;BR-153;GO;685,800;Itumbiara;Principal;Crescente/Decrescente;Ativo;;-18,268544;-49,245811
CONCEBRA;P5 PRATA;2017;BR-153;MG;127,900;Prata;Principal;Crescente/Decrescente;Ativo;;-19,471586;-48,871046
CONCEBRA;P6 FRONTEIRA;2017;BR-153;MG;227,900;Fronteira;Principal;Crescente/Decrescente;Ativo;;-20,142521;-49,110488
CONCEBRA;P7 FLORESTAL;2017;BR-262;MG;389,400;Florestal;Principal;Crescente/Decrescente;Ativo;;-19,909615;-44,506725
CONCEBRA;P8 LUZ;2017;BR-262;MG;512,850;Luz;Principal;Crescente/Decrescente;Ativo;;-19,788259;-45,584630
CONCEBRA;P9 CAMPOS ALTOS;2017;BR-262;MG;600,800;Campos Altos;Principal;Crescente/Decrescente;Ativo;;-19,647341;-46,240088
CONCER;P1;2016;BR-40;RJ;102,000;Duque de Caxias;Principal;Crescente/Decrescente;Ativo;;-22,609965;-43,285552
CONCER;P2;2016;BR-40;RJ;45,500;Areal;Principal;Crescente/Decrescente;Ativo;;-22,284389;-43,120269
CONCER;P3;2016;BR-40;MG;816,700;Simão Pereira;Principal;Crescente/Decrescente;Ativo;;-21,928252;-43,316282
CRO;P3 ;2016;BR-364;MT;316,550;Campo Verde;Principal;Crescente/Decrescente;Ativo;;-15,810000;-55,310000
CRO;P1;2016;BR-163;MT;33,600;Itiquira;Principal;Crescente/Decrescente;Ativo;;-17,219391;-54,758685
CRO;P2;2016;BR-364;MT;214,400;Rondonópolis;Principal;Crescente/Decrescente;Ativo;;-16,393565;-54,714281
CRO;P4;2016;BR-364;MT;383,100;Cuiabá;Principal;Crescente/Decrescente;Ativo;;-15,702041;-55,829527
CRO;P5;2016;BR-364;MT;479,100;Jangada;Principal;Crescente/Decrescente;Ativo;;-15,349875;-56,415628
CRO;P6;2016;BR-364;MT;579,100;Nobres;Principal;Crescente/Decrescente;Ativo;;-14,599728;-56,240858
CRO;P7;2016;BR-163;MT;586,900;Nova Mutum;Principal;Crescente/Decrescente;Ativo;;-13,919520;-56,093419
CRO;P8;2016;BR-163;MT;664,450;Lucas do Rio Verde;Principal;Crescente/Decrescente;Ativo;;-13,265990;-56,022777
CRO;P9;2016;BR-163;MT;766,700;Sorriso;Principal;Crescente/Decrescente;Ativo;;-12,441635;-55,653798
ECO050;ARAGUARI I;2017;BR-50;MG;13,940;Araguari;Principal;Crescente/Decrescente;Ativo;;-18,539374;-48,046762
ECO050;ARAGUARI II;2017;BR-50;MG;51,500;Araguari;Principal;Crescente/Decrescente;Ativo;;-18,749841;-48,235551
ECO050;CAMPO ALEGRE;2017;BR-50;GO;226,000;Campo Alegre de Goiás;Principal;Crescente/Decrescente;Ativo;;-17,772000;-47,749953
ECO050;DELTA;2017;BR-50;MG;198,200;Delta;Principal;Crescente/Decrescente;Ativo;;-19,915657;-47,829377
ECO050;IPAMERI;2017;BR-50;GO;144,000;Ipameri;Principal;Crescente/Decrescente;Ativo;;-17,121178;-47,721416
ECO050;UBERABA;2017;BR-50;MG;104,980;Uberaba;Principal;Crescente/Decrescente;Ativo;;-19,180717;-48,157415
