concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
AUTOPISTA FERNÃO DIAS,1 Norte - Defasada (Mairiporã),BR-381,SP,Mairiporã,"-23.341210,-46.573664",80,80,1.0,"{'latitude': -23.418085262833486, 'longitude': -46.57955696493843}","{'latitude': -23.24220742642155, 'longitude': -46.5976498058526}",2024-10-21_09-45-29,0
AUTOPISTA FERNÃO DIAS,1 Norte (Mairiporã),BR-381,SP,Mairiporã,"-23.322298,-46.581097",80,80,1.0,"{'latitude': -23.418085262833486, 'longitude': -46.57955696493843}","{'latitude': -23.24220742642155, 'longitude': -46.5976498058526}",2024-10-21_09-45-30,0
AUTOPISTA FERNÃO DIAS,1 Sul (Mairiporã),BR-381,SP,Mairiporã,"-23.330558,-46.578337",78,78,1.0,"{'latitude': -23.32306127135684, 'longitude': -46.581261508767795}","{'latitude': -23.432544991817114, 'longitude': -46.56922509581065}",2024-10-21_09-45-32,0
AUTOPISTA FERNÃO DIAS,2 (Vargem),BR-381,SP,Vargem,"-22.908685,-46.424877",93,93,1.0,"{'latitude': -22.871693790583407, 'longitude': -46.36133378054046}","{'latitude': -22.99616170455902, 'longitude': -46.51519199519305}",2024-10-21_09-45-33,0
AUTOPISTA FERNÃO DIAS,3 (Cambuí),BR-381,MG,Cambuí,"-22.628487,-46.077890",90,90,1.0,"{'latitude': -22.576988718541973, 'longitude': -46.04350676435129}","{'latitude': -22.68517566718784, 'longitude': -46.10194673438136}",2024-10-21_09-45-34,0
AUTOPISTA FERNÃO DIAS,4 (São Gonçalo),BR-381,MG,São Gonçalo do Sapucaí,"-21.970441,-45.631188",96,96,1.0,"{'latitude': -21.965221129863707, 'longitude': -45.62977736481227}","{'latitude': -21.988942612271796, 'longitude': -45.664529405921826}",2024-10-21_09-45-35,0
AUTOPISTA FERNÃO DIAS,5 (Carmo da Cachoeira),BR-381,MG,Carmo da Cachoeira,"-21.545700,-45.240203",90,90,1.0,"{'latitude': -21.56859079198471, 'longitude': -45.243222765914}","{'latitude': -21.526351403848626, 'longitude': -45.227144263970445}",2024-10-21_09-45-36,0
AUTOPISTA FERNÃO DIAS,6 (Santo Antônio do Amparo),BR-381,MG,Santo Antônio do Amparo,"-21.000367,-44.966967",93,93,1.0,"{'latitude': -20.975267411968336, 'longitude': -44.93952830902754}","{'latitude': -21.00835917650042, 'longitude': -44.97899165027286}",2024-10-21_09-45-37,0
AUTOPISTA FERNÃO DIAS,7 (Carmópolis de Minas),BR-381,MG,Carmópolis de Minas,"-20.591486,-44.701506",101,101,1.0,"{'latitude': -20.58820716821702, 'longitude': -44.696320347650044}","{'latitude': -20.810373213452383, 'longitude': -44.79190757144056}",2024-10-21_09-45-38,0
AUTOPISTA FERNÃO DIAS,8 (Itatiaiuçu),BR-381,MG,Itatiaiuçu,"-20.268346,-44.423711",33,33,1.0,"{'latitude': -20.269811557701704, 'longitude': -44.424180738726676}","{'latitude': -20.267165537159745, 'longitude': -44.42314674715118}",2024-10-21_09-45-39,0
AUTOPISTA FLUMINENSE,Casimiro de Abreu,BR-101,RJ,Casimiro de Abreu,"-22.476441,-42.088519",81,90,0.960797,"{'latitude': -22.47471476564554, 'longitude': -42.17810159134169}","{'latitude': -22.46519563995041, 'longitude': -42.070550374237484}",2024-10-21_09-45-39,0
AUTOPISTA FLUMINENSE,Conselheiro Josino,BR-101,RJ,Campos dos Goytacazes,"-21.552594,-41.331597",80,80,1.0,"{'latitude': -21.60636037346987, 'longitude': -41.31672760036699}","{'latitude': -21.375367171722697, 'longitude': -41.34327878741158}",2024-10-21_09-45-40,0
AUTOPISTA FLUMINENSE,Rio Bonito,BR-101,RJ,Rio Bonito,"-22.687469,-42.539855",95,95,1.0,"{'latitude': -22.71595131001036, 'longitude': -42.680252693286235}","{'latitude': -22.639885216143636, 'longitude': -42.46950750762352}",2024-10-21_09-45-41,0
AUTOPISTA FLUMINENSE,São Gonçalo,BR-101,RJ,São Gonçalo,"-22.774713,-42.945500",82,82,1.0,"{'latitude': -22.771506532268813, 'longitude': -42.92456706588263}","{'latitude': -22.78286166540323, 'longitude': -42.97783707803529}",2024-10-21_09-45-42,0
AUTOPISTA FLUMINENSE,Serrinha,BR-101,RJ,Campos dos Goytacazes,"-22.049750,-41.685157",104,104,1.0,"{'latitude': -22.046443771011845, 'longitude': -41.69023995792733}","{'latitude': -22.21493879763308, 'longitude': -41.754934839381576}",2024-10-21_09-45-43,0
AUTOPISTA LITORAL SUL,P1,BR-376,PR,São José dos Pinhais,"-25.747708,-49.129655",95,95,1.0,"{'latitude': -25.845594372402182, 'longitude': -49.098050647670874}","{'latitude': -25.740038751738833, 'longitude': -49.13030421108249}",2024-10-21_09-45-45,0
AUTOPISTA LITORAL SUL,P2,BR-101,SC,Garuva,"-25.991898,-48.881469",0,0,0.5,"{'latitude': -25.97141680770184, 'longitude': -48.89196848238166}","{'latitude': -26.026049362152165, 'longitude': -48.861501270174415}",2024-10-21_09-45-45,0
AUTOPISTA LITORAL SUL,P3,BR-101,SC,Araquari,"-26.591635,-48.722079",93,93,1.0,"{'latitude': -26.65398666714206, 'longitude': -48.68742456396285}","{'latitude': -26.546878035642514, 'longitude': -48.71279289683159}",2024-10-21_09-45-46,0
AUTOPISTA LITORAL SUL,P4,BR-101,SC,Porto Belo,"-27.185065,-48.612362",88,88,1.0,"{'latitude': -27.189347576899134, 'longitude': -48.612278455079604}","{'latitude': -27.14392297011717, 'longitude': -48.61021851855568}",2024-10-21_09-45-47,0
AUTOPISTA LITORAL SUL,P5,BR-101,SC,Palhoça,"-27.885105,-48.647677",93,93,1.0,"{'latitude': -27.688286748693045, 'longitude': -48.66548007090239}","{'latitude': -27.91779529268776, 'longitude': -48.65388890464183}",2024-10-21_09-45-49,0
AUTOPISTA PLANALTO SUL,CORREIA PINTO,BR-116,SC,Correia Pinto,"-27.010584,-50.374335",29,29,1.0,"{'latitude': -26.98587117512687, 'longitude': -50.393730604647146}","{'latitude': -27.023002322435854, 'longitude': -50.248977148497715}",2024-10-21_09-45-50,0
AUTOPISTA PLANALTO SUL,FAZENDA RIO GRANDE,BR-116,PR,Fazenda Rio Grande,"-25.713458,-49.318037",50,50,1.0,"{'latitude': -25.71613891449825, 'longitude': -49.31811382745349}","{'latitude': -25.713192500428757, 'longitude': -49.318245255695246}",2024-10-21_09-45-51,0
AUTOPISTA PLANALTO SUL,MONTE CASTELO,BR-116,SC,Monte Castelo,"-26.570363,-50.221795",85,85,1.0,"{'latitude': -26.46331381688722, 'longitude': -50.22963842149582}","{'latitude': -26.609303784408766, 'longitude': -50.22917439933613}",2024-10-21_09-45-52,0
AUTOPISTA PLANALTO SUL,RIO NEGRO,BR-116,PR,Rio Negro,"-26.070580,-49.739911",77,77,1.0,"{'latitude': -25.994432827591123, 'longitude': -49.66741924864877}","{'latitude': -26.103688569385913, 'longitude': -49.78088205442319}",2024-10-21_09-45-53,0
AUTOPISTA PLANALTO SUL,SANTA CECÍLIA,BR-116,SC,Santa Cecília,"-27.010584,-50.428716",85,85,1.0,"{'latitude': -26.99522806157344, 'longitude': -50.40785109400932}","{'latitude': -27.145670466570664, 'longitude': -50.46016623975248}",2024-10-21_09-45-54,0
AUTOPISTA REGIS BITTENCOURT,São Lourenço da Serra,BR-116,SP,São Lourenço da Serra,"-23.787647,-46.913922",87,87,1.0,"{'latitude': -23.733727613532118, 'longitude': -46.895427309650785}","{'latitude': -23.860212524404908, 'longitude': -46.9461612931793}",2024-10-21_09-45-55,0
AUTOPISTA REGIS BITTENCOURT,Miracatu,BR-116,SP,Miracatu,"-24.157869,-47.326280",80,80,1.0,"{'latitude': -24.164939617274037, 'longitude': -47.33219688463308}","{'latitude': -24.06518959805844, 'longitude': -47.23704551980762}",2024-10-21_09-45-56,0
AUTOPISTA REGIS BITTENCOURT,Juquiá,BR-116,SP,Juquiá,"-24.389325,-47.722391",101,101,1.0,"{'latitude': -24.45816677726499, 'longitude': -47.8147611552418}","{'latitude': -24.387448989806384, 'longitude': -47.717130088181506}",2024-10-21_09-45-57,0
AUTOPISTA REGIS BITTENCOURT,Cajati,BR-116,SP,Cajati,"-24.722483,-48.082580",103,103,1.0,"{'latitude': -24.775653125587684, 'longitude': -48.17086195297793}","{'latitude': -24.694815394404703, 'longitude': -47.99808611813887}",2024-10-21_09-45-58,0
AUTOPISTA REGIS BITTENCOURT,Barra do Turvo,BR-116,SP,Barra do Turvo,"-24.964044,-48.412000",98,98,1.0,"{'latitude': -24.961110460814844, 'longitude': -48.41864576293588}","{'latitude': -24.893965379867712, 'longitude': -48.23686843464077}",2024-10-21_09-45-59,0
AUTOPISTA REGIS BITTENCOURT,Campina Grande do Sul,BR-116,PR,Campina Grande do Sul,"-25.289252,-48.933841",93,93,1.0,"{'latitude': -25.215914934017295, 'longitude': -48.90327131117303}","{'latitude': -25.297429990275678, 'longitude': -48.93951063718171}",2024-10-21_09-46-00,0
CONCEBRA,P1 ALEXÂNIA,BR-60,GO,Alexânia,"-16.115707,-48.589240",88,88,1.0,"{'latitude': -16.119483370101868, 'longitude': -48.5899812515336}","{'latitude': -16.110484565315982, 'longitude': -48.57112398105002}",2024-10-21_09-46-01,0
CONCEBRA,P10 PERDIZES,BR-262,MG,Perdizes,"-19.617614,-47.346547",89,89,1.0,"{'latitude': -19.616049936874, 'longitude': -47.36205255318481}","{'latitude': -19.618593987486083, 'longitude': -47.2156629495359}",2024-10-21_09-46-02,0
CONCEBRA,P11 CAMPO FLORIDO,BR-262,MG,Conceição das Alagoas,"-19.776951,-48.458219",100,100,1.0,"{'latitude': -19.77123314792595, 'longitude': -48.57249727206596}","{'latitude': -19.789607655869624, 'longitude': -48.41940885140082}",2024-10-21_09-46-03,0
CONCEBRA,P2 GOIANÁPOLIS,BR-60,GO,Goianápolis,"-16.438631,-49.019137",60,60,1.0,"{'latitude': -16.444882277366137, 'longitude': -49.019427054799024}","{'latitude': -16.434563839914503, 'longitude': -49.0186116632583}",2024-10-21_09-46-05,0
CONCEBRA,P3 PROF JAMIL,BR-153,GO,Piracanjuba,"-17.163180,-49.212582",104,104,1.0,"{'latitude': -17.21152869754467, 'longitude': -49.22169511886818}","{'latitude': -17.059302551240897, 'longitude': -49.225777440989816}",2024-10-21_09-46-06,0
CONCEBRA,P4 ITUMBIARA,BR-153,GO,Itumbiara,"-18.268544,-49.245811",54,54,1.0,"{'latitude': -18.271233241678352, 'longitude': -49.24497803422739}","{'latitude': -18.264015427559222, 'longitude': -49.247342401474555}",2024-10-21_09-46-07,0
CONCEBRA,P5 PRATA,BR-153,MG,Prata,"-19.471586,-48.871046",89,89,1.0,"{'latitude': -19.300313668821502, 'longitude': -48.90744885171472}","{'latitude': -19.48340934551796, 'longitude': -48.862822258114534}",2024-10-21_09-46-08,0
CONCEBRA,P6 FRONTEIRA,BR-153,MG,Fronteira,"-20.142521,-49.110488",89,89,1.0,"{'latitude': -20.184302767365807, 'longitude': -49.11643987268127}","{'latitude': -20.0237751844269, 'longitude': -49.047814213914734}",2024-10-21_09-46-09,0
CONCEBRA,P7 FLORESTAL,BR-262,MG,Florestal,"-19.909615,-44.506725",47,58,1.0,"{'latitude': -19.911558276069716, 'longitude': -44.50418969255503}","{'latitude': -19.907607409872217, 'longitude': -44.51059883099762}",2024-10-21_09-46-10,0
CONCEBRA,P8 LUZ,BR-262,MG,Luz,"-19.788259,-45.584630",95,95,1.0,"{'latitude': -19.770502263069382, 'longitude': -45.507638953977164}","{'latitude': -19.78455570954819, 'longitude': -45.7175043750828}",2024-10-21_09-46-11,0
CONCEBRA,P9 CAMPOS ALTOS,BR-262,MG,Campos Altos,"-19.647341,-46.240088",77,86,0.85163,"{'latitude': -19.5897964614435, 'longitude': -46.31128510141542}","{'latitude': -19.666706158849664, 'longitude': -46.160129212345936}",2024-10-21_09-46-12,0
CONCER,P1,BR-40,RJ,Duque de Caxias,"-22.609965,-43.285552",61,61,1.0,"{'latitude': -22.665971054503196, 'longitude': -43.28500231338782}","{'latitude': -22.55487125272013, 'longitude': -43.235252700568}",2024-10-21_09-46-13,0
